InterPro Entry Accession	InterPro Entry Name	InterPro Entry Type
IPR005422	Voltage-dependent calcium channel, gamma-2 subunit	Family
IPR005423	Voltage-dependent calcium channel, gamma-4 subunit	Family
IPR005424	Potassium channel, voltage-dependent, beta subunit, KCNE1	Family
IPR005425	Potassium channel, voltage-dependent, beta subunit, KCNE2	Family
IPR005426	Potassium channel, voltage-dependent, beta subunit, KCNE3	Family
IPR005427	Salmonella/Shigella invasin protein C	Family
IPR005428	Adhesion molecule CD36	Family
IPR005429	Lysosome membrane protein II	Family
IPR005430	P pili tip fibrillum PapF protein	Family
IPR005431	Gamma-aminobutyric-acid A receptor, alpha 1 subunit	Family
IPR005432	Gamma-aminobutyric-acid A receptor, alpha 2 subunit	Family
IPR005433	Gamma-aminobutyric-acid A receptor, alpha 3 subunit	Family
IPR005434	Gamma-aminobutyric-acid A receptor, alpha 4 subunit	Family
IPR005435	Gamma-aminobutyric-acid A receptor, alpha 5 subunit	Family
IPR005436	Gamma-aminobutyric-acid A receptor, alpha 6 subunit	Family
IPR005437	Gamma-aminobutyric-acid A receptor, gamma subunit	Family
IPR005438	Gamma-aminobutyric-acid A receptor, gamma 1 subunit	Family
IPR005439	Gamma-aminobutyric-acid A receptor, gamma 2 subunit	Family
IPR005440	Gamma-aminobutyric-acid A receptor, gamma 3 subunit	Family
IPR005441	Preproghrelin peptide	Family
IPR005442	Glutathione S-transferase, omega-class	Family
IPR005443	Voltage-dependent calcium channel, L-type, beta-1 subunit	Family
IPR005444	Voltage-dependent calcium channel, L-type, beta-2 subunit	Family
IPR005445	Voltage-dependent calcium channel, T-type, alpha-1 subunit	Family
IPR005446	Voltage-dependent calcium channel, L-type, alpha-1 subunit	Family
IPR005447	Voltage-dependent calcium channel, N-type, alpha-1 subunit	Family
IPR005448	Voltage-dependent calcium channel, P/Q-type, alpha-1 subunit	Family
IPR006518	Trypanosome RHS	Family
IPR006519	Ribosomal protein L11, bacterial-type	Family
IPR006520	Streptococcus phage 7201, Orf34, N-terminal	Domain
IPR006521	Tail protein I	Family
IPR006522	Phage virion morphogensis protein	Family
IPR006523	Transcription activator, RinA family	Family
IPR006524	Transcription activator, ArpU family	Family
IPR006525	Cystatin-related, plant	Domain
IPR006526	Exported protein, PHISTa/b/c, conserved domain, Plasmodium	Domain
IPR006527	F-box associated domain, type 1	Domain
IPR006528	Phage head morphogenesis domain	Domain
IPR006529	U2 snRNP auxilliary factor, large subunit, splicing factor	Family
IPR006530	YD repeat	Repeat
IPR006531	Gp5 N-terminal	Domain
IPR006532	Poly-U binding splicing factor, half-pint	Family
IPR006533	Type VI secretion system, RhsGE-associated Vgr protein	Family
IPR006534	H+ transporting P-type ATPase, subfamily IIIA	Family
IPR006535	HnRNP R/Q splicing factor	Family
IPR006536	HnRNP-L/PTB/hephaestus splicing factor	Family
IPR006537	Cobaltochelatase subunit CobS	Family
IPR006538	Cobalt chelatase, CobT subunit	Family
IPR006539	Phospholipid-transporting  P-type ATPase, subfamily IV	Family
IPR006540	Bacteriocin, lactococcin 972	Family
IPR006541	Bacteriocin-associated integral membrane protein	Family
IPR006542	Conserved hypothetical protein CHP01655	Family
IPR006543	Histidinol-phosphate phosphatase	Domain
IPR006544	Cation-transporting P-type ATPase, subfamily  V	Family
IPR006545	EYA	Domain
IPR006546	Sex-lethal splicing factor	Family
IPR006547	Nitrate reductase, beta subunit	Family
IPR006548	Splicing factor ELAV/HuD	Family
IPR006549	HAD-superfamily hydrolase,subfamily IIIA	Domain
IPR006550	Polynucleotide kinase 3-phosphatase, metazoan	Family
IPR006551	Polynucleotide 3'-phosphatase	Domain
IPR006552	VWC out	Domain
IPR006553	Leucine-rich repeat, cysteine-containing subtype	Repeat
IPR006554	Helicase-like, DEXD box c2 type	Domain
IPR006555	ATP-dependent helicase, C-terminal	Domain
IPR006558	LamG-like jellyroll fold	Domain
IPR006560	AWS	Domain
IPR006561	DZF	Domain
IPR006563	POX domain	Domain
IPR006564	Zinc finger, PMZ-type	Domain
IPR006565	Bromodomain transcription factor	Domain
IPR006566	FBD domain	Domain
IPR006567	PUG domain	Domain
IPR006568	PSP, proline-rich	Domain
IPR006569	CID domain	Domain
IPR006570	SPK	Domain
IPR006571	TLDc	Domain
IPR006572	Zinc finger, DBF-type	Domain
IPR006573	NEUZ	Domain
IPR006574	SPRY-associated	Domain
IPR006575	RWD domain	Domain
IPR006576	BRK domain	Domain
IPR006577	UAS	Domain
IPR006578	MADF domain	Domain
IPR006579	Pre-C2HC  domain	Domain
IPR006580	Zinc finger, TTF-type	Domain
IPR006581	VPS10	Domain
IPR006582	MD domain	Domain
IPR006583	PAN-3 domain	Domain
IPR006584	Cellulose binding, type IV	Domain
IPR006585	Fucolectin tachylectin-4 pentraxin-1	Domain
IPR006586	ADAM, cysteine-rich	Domain
IPR006588	Peptide N glycanase, PAW domain	Domain
IPR006589	Glycosyl hydrolase, family 13, subfamily, catalytic domain	Domain
IPR006590	RNA polymerase II, Rpb4, core	Domain
IPR007298	Copper resistance lipoprotein NlpE	Family
IPR007300	CidB/LrgB family	Family
IPR007121	RNA polymerase, beta subunit, conserved site	Conserved_site
IPR007122	Villin/Gelsolin	Family
IPR007123	Gelsolin domain	Domain
IPR007125	Histone core	Domain
IPR007126	Borrelia REV	Family
IPR007127	RNA polymerase sigma factor 70, region 1.1	Domain
IPR007128	Nnf1	Family
IPR007129	Ubiquinol-cytochrome c chaperone, CBP3	Family
IPR007130	Diacylglycerol acyltransferase	Family
IPR007131	SLA1 homology domain 1, SHD1	Domain
